iter	RMSE
0	3.269920459
1	3.108499572
2	2.986135277
3	2.85567091
4	2.720494313
5	2.599157527
6	2.486225434
7	2.372690375
8	2.272693931
9	2.171788267
10	2.077664778
11	1.990552659
12	1.898125519
13	1.818640801
14	1.743298684
15	1.671204807
16	1.600895219
17	1.529990502
18	1.469026092
19	1.403755885
20	1.348205845
21	1.287993052
22	1.236358898
23	1.184502539
24	1.133516503
25	1.085281211
26	1.045302847
27	1.003634376
28	0.9661086323
29	0.9318099658
30	0.8968043139
31	0.8656883733
32	0.838062834
33	0.8076485601
34	0.7797412242
35	0.7558467325
36	0.7313317482
37	0.7073031529
38	0.6839545656
39	0.6643941623
40	0.6415583204
41	0.6259154255
42	0.6065057019
43	0.5868115843
44	0.5687765959
45	0.5556080668
46	0.5412181399
47	0.5261101265
48	0.5139429769
49	0.4991425493
50	0.487638751
51	0.476412714
52	0.4640331856
53	0.4508822636
54	0.4405107542
55	0.4292096282
56	0.4182882296
57	0.4075024546
58	0.3981279703
59	0.3879602847
60	0.3790550462
61	0.3694444013
62	0.3600582054
63	0.3518258437
64	0.3429781948
65	0.3343169331
66	0.3267090192
67	0.3192750004
68	0.3120634139
69	0.304246352
70	0.2973955201
71	0.2899712739
72	0.2834770909
73	0.2764501116
74	0.2702890157
75	0.2636127269
76	0.2577700134
77	0.2520773464
78	0.2465457589
79	0.2399407162
80	0.234697952
81	0.2290062565
82	0.2234829561
83	0.2186571025
84	0.2134243423
85	0.2088572335
86	0.2034555608
87	0.1991442371
88	0.1944709969
89	0.1903938079
90	0.185992058
91	0.1821196223
92	0.1779466784
93	0.1743033799
94	0.1703747089
95	0.1669206967
96	0.1632028275
97	0.1599547567
98	0.1564571391
99	0.1533836286
