iter	Passed	Remaining
0	0	27
1	0	18
2	0	14
3	0	12
4	0	10
5	0	10
6	0	9
7	0	9
8	0	8
9	0	8
10	0	7
11	1	7
12	1	7
13	1	7
14	1	7
15	1	6
16	1	6
17	2	9
18	2	9
19	2	9
20	2	8
21	2	8
22	2	8
23	2	8
24	2	8
25	2	7
26	2	7
27	2	7
28	2	7
29	3	7
30	3	6
31	3	6
32	3	6
33	3	6
34	3	6
35	3	6
36	3	5
37	3	5
38	3	5
39	3	5
40	3	5
41	3	5
42	3	5
43	4	5
44	4	4
45	4	4
46	4	4
47	4	4
48	4	4
49	4	4
50	4	4
51	4	4
52	4	4
53	4	4
54	4	3
55	4	3
56	4	3
57	4	3
58	5	3
59	5	3
60	5	3
61	5	3
62	5	3
63	5	3
64	5	2
65	5	2
66	5	2
67	5	2
68	5	2
69	5	2
70	5	2
71	5	2
72	6	2
73	6	2
74	6	2
75	6	1
76	6	1
77	6	1
78	6	1
79	6	1
80	6	1
81	6	1
82	6	1
83	6	1
84	6	1
85	6	1
86	6	1
87	7	0
88	7	0
89	7	0
90	7	0
91	7	0
92	7	0
93	7	0
94	7	0
95	7	0
96	7	0
97	7	0
98	7	0
99	7	0
