date,price,currency,unit
2024-01-02,67.50,EUR,EUR/tonne
2024-01-03,68.20,EUR,EUR/tonne
2024-01-04,67.80,EUR,EUR/tonne
2024-01-05,68.50,EUR,EUR/tonne
2024-01-08,69.10,EUR,EUR/tonne
2024-01-09,68.90,EUR,EUR/tonne
2024-01-10,69.50,EUR,EUR/tonne
2024-01-11,70.20,EUR,EUR/tonne
2024-01-12,70.50,EUR,EUR/tonne
2024-01-15,71.00,EUR,EUR/tonne
2024-01-16,70.80,EUR,EUR/tonne
2024-01-17,71.50,EUR,EUR/tonne
2024-01-18,72.00,EUR,EUR/tonne
2024-01-19,71.80,EUR,EUR/tonne
2024-01-22,72.50,EUR,EUR/tonne
2024-01-23,73.00,EUR,EUR/tonne
2024-01-24,72.80,EUR,EUR/tonne
2024-01-25,73.50,EUR,EUR/tonne
2024-01-26,74.00,EUR,EUR/tonne
2024-01-29,73.80,EUR,EUR/tonne
2024-01-30,74.50,EUR,EUR/tonne
2024-01-31,75.00,EUR,EUR/tonne
2024-02-01,74.80,EUR,EUR/tonne
2024-02-02,75.50,EUR,EUR/tonne
2024-02-05,76.00,EUR,EUR/tonne
2024-02-06,75.80,EUR,EUR/tonne
2024-02-07,76.50,EUR,EUR/tonne
2024-02-08,77.00,EUR,EUR/tonne
2024-02-09,76.80,EUR,EUR/tonne
2024-02-12,77.50,EUR,EUR/tonne
2024-02-13,78.00,EUR,EUR/tonne
2024-02-14,77.80,EUR,EUR/tonne
2024-02-15,78.50,EUR,EUR/tonne
2024-02-16,79.00,EUR,EUR/tonne
2024-02-19,78.80,EUR,EUR/tonne
2024-02-20,79.50,EUR,EUR/tonne
2024-02-21,80.00,EUR,EUR/tonne
2024-02-22,79.80,EUR,EUR/tonne
2024-02-23,80.50,EUR,EUR/tonne
2024-02-26,81.00,EUR,EUR/tonne
2024-02-27,80.80,EUR,EUR/tonne
2024-02-28,81.50,EUR,EUR/tonne
2024-02-29,82.00,EUR,EUR/tonne
2024-03-01,81.80,EUR,EUR/tonne
2024-03-04,82.50,EUR,EUR/tonne
2024-03-05,83.00,EUR,EUR/tonne
2024-03-06,82.80,EUR,EUR/tonne
2024-03-07,83.50,EUR,EUR/tonne
2024-03-08,84.00,EUR,EUR/tonne
2024-03-11,83.80,EUR,EUR/tonne
2024-03-12,84.50,EUR,EUR/tonne
2024-03-13,85.00,EUR,EUR/tonne
2024-03-14,84.80,EUR,EUR/tonne
2024-03-15,85.50,EUR,EUR/tonne
2024-03-18,86.00,EUR,EUR/tonne
2024-03-19,85.80,EUR,EUR/tonne
2024-03-20,86.50,EUR,EUR/tonne
2024-03-21,87.00,EUR,EUR/tonne
2024-03-22,86.80,EUR,EUR/tonne
2024-03-25,87.50,EUR,EUR/tonne
2024-03-26,88.00,EUR,EUR/tonne
2024-03-27,87.80,EUR,EUR/tonne
2024-03-28,88.50,EUR,EUR/tonne
2024-03-29,89.00,EUR,EUR/tonne
2024-04-01,88.80,EUR,EUR/tonne
2024-04-02,89.50,EUR,EUR/tonne
2024-04-03,90.00,EUR,EUR/tonne
2024-04-04,89.80,EUR,EUR/tonne
2024-04-05,90.50,EUR,EUR/tonne
2024-04-08,91.00,EUR,EUR/tonne
2024-04-09,90.80,EUR,EUR/tonne
2024-04-10,91.50,EUR,EUR/tonne
2024-04-11,92.00,EUR,EUR/tonne
2024-04-12,91.80,EUR,EUR/tonne
2024-04-15,92.50,EUR,EUR/tonne
2024-04-16,93.00,EUR,EUR/tonne
2024-04-17,92.80,EUR,EUR/tonne
2024-04-18,93.50,EUR,EUR/tonne
2024-04-19,94.00,EUR,EUR/tonne
2024-04-22,93.80,EUR,EUR/tonne
2024-04-23,94.50,EUR,EUR/tonne
2024-04-24,95.00,EUR,EUR/tonne
2024-04-25,94.80,EUR,EUR/tonne
2024-04-26,95.50,EUR,EUR/tonne
2024-04-29,95.20,EUR,EUR/tonne
2024-04-30,94.80,EUR,EUR/tonne
2024-05-01,94.50,EUR,EUR/tonne
2024-05-02,94.00,EUR,EUR/tonne
2024-05-03,93.50,EUR,EUR/tonne
2024-05-06,93.00,EUR,EUR/tonne
2024-05-07,92.50,EUR,EUR/tonne
2024-05-08,92.00,EUR,EUR/tonne
2024-05-09,91.50,EUR,EUR/tonne
2024-05-10,91.00,EUR,EUR/tonne
2024-05-13,90.50,EUR,EUR/tonne
2024-05-14,90.00,EUR,EUR/tonne
2024-05-15,89.50,EUR,EUR/tonne
2024-05-16,89.00,EUR,EUR/tonne
2024-05-17,88.50,EUR,EUR/tonne
2024-05-20,88.00,EUR,EUR/tonne
2024-05-21,87.50,EUR,EUR/tonne
2024-05-22,87.00,EUR,EUR/tonne
2024-05-23,86.50,EUR,EUR/tonne
2024-05-24,86.00,EUR,EUR/tonne
2024-05-27,85.50,EUR,EUR/tonne
2024-05-28,85.00,EUR,EUR/tonne
2024-05-29,84.50,EUR,EUR/tonne
2024-05-30,84.00,EUR,EUR/tonne
2024-05-31,83.50,EUR,EUR/tonne
2024-06-03,83.00,EUR,EUR/tonne
2024-06-04,82.50,EUR,EUR/tonne
2024-06-05,82.00,EUR,EUR/tonne
2024-06-06,81.50,EUR,EUR/tonne
2024-06-07,81.00,EUR,EUR/tonne
2024-06-10,80.50,EUR,EUR/tonne
2024-06-11,80.00,EUR,EUR/tonne
2024-06-12,79.50,EUR,EUR/tonne
2024-06-13,79.00,EUR,EUR/tonne
2024-06-14,78.50,EUR,EUR/tonne
2024-06-17,78.00,EUR,EUR/tonne
2024-06-18,77.50,EUR,EUR/tonne
2024-06-19,77.00,EUR,EUR/tonne
2024-06-20,76.50,EUR,EUR/tonne
2024-06-21,76.00,EUR,EUR/tonne
2024-06-24,75.50,EUR,EUR/tonne
2024-06-25,75.00,EUR,EUR/tonne
2024-06-26,74.50,EUR,EUR/tonne
2024-06-27,74.00,EUR,EUR/tonne
2024-06-28,73.50,EUR,EUR/tonne
2024-07-01,73.00,EUR,EUR/tonne
2024-07-02,72.50,EUR,EUR/tonne
2024-07-03,72.00,EUR,EUR/tonne
2024-07-04,71.50,EUR,EUR/tonne
2024-07-05,71.00,EUR,EUR/tonne
2024-07-08,70.50,EUR,EUR/tonne
2024-07-09,70.00,EUR,EUR/tonne
2024-07-10,69.50,EUR,EUR/tonne
2024-07-11,69.00,EUR,EUR/tonne
2024-07-12,68.50,EUR,EUR/tonne
2024-07-15,68.00,EUR,EUR/tonne
2024-07-16,67.50,EUR,EUR/tonne
2024-07-17,67.00,EUR,EUR/tonne
2024-07-18,66.50,EUR,EUR/tonne
2024-07-19,66.00,EUR,EUR/tonne
2024-07-22,65.50,EUR,EUR/tonne
2024-07-23,65.00,EUR,EUR/tonne
2024-07-24,64.50,EUR,EUR/tonne
2024-07-25,64.00,EUR,EUR/tonne
2024-07-26,63.50,EUR,EUR/tonne
2024-07-29,63.00,EUR,EUR/tonne
2024-07-30,62.50,EUR,EUR/tonne
2024-07-31,62.00,EUR,EUR/tonne
2024-08-01,61.50,EUR,EUR/tonne
2024-08-02,61.00,EUR,EUR/tonne
2024-08-05,60.50,EUR,EUR/tonne
